idx,name,smiles,score,mw,status,pdbqt
5921,D7800,CCn1nnc2cc(C(=O)Nc3ccc(Br)cc3F)ccc21,0.79549825,363.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/5921.pdbqt
1440,D7800,Cc1cc(C)c2nc(NC3=NCN(CCN4CCOCC4)CN3)nc(C)c2c1,0.7872504,383.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/1440.pdbqt
5673,D7800,CCNc1nc(Nc2ccc(C)c(Cl)c2)c2cnn(C)c2n1,0.78587395,316.8,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/5673.pdbqt
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.78493744,497.9,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/6117.pdbqt
1523,D7800,CC(C)c1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.7842164,384.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/1523.pdbqt
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7811941,359.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/5922.pdbqt
4124,D7800,Cc1cc(C)n(-c2nc(N(C)C)nc(N3CCOCC3)n2)n1,0.78067845,303.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/4124.pdbqt
9494,L6020,CCNc1nc(Cl)nc(NCC)n1,0.77552307,201.7,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/9494.pdbqt
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.76695114,434.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/6225.pdbqt
1555,D7800,CCOc1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0.76435655,386.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/ensemble/1555.pdbqt
