idx,name,smiles,score,mw,status,pdbqt
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.8471029,497.9,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6117.pdbqt
1992,D7800,Cc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)Nc4sc5c(c4C#N)CCC(C)C5)cc3n2)cc1,0.83223003,495.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/1992.pdbqt
6116,D7800,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12,0.8321696,495.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6116.pdbqt
5700,D7800,Cc1ccc(Cl)cc1Nc1nn2c(=O)c3ccc(C(=O)NCc4ccc(F)cc4)cc3nc2s1,0.83156484,494.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5700.pdbqt
5846,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCOCC4)c23)CC1,0.8278735,455.9,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5846.pdbqt
6806,D7800,Cc1nc(-c2ccc(C)c(N3CCN(C(=O)Nc4ccccc4C(F)(F)F)CC3)c2)no1,0.8234075,445.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6806.pdbqt
5851,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3c(C)oc4nc(C)nc(N5CCOCC5)c34)CC2)c1,0.8202599,449.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5851.pdbqt
1985,D7800,CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2sc3c(c2c1=O)CCN(C)C3,0.8198546,493.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/1985.pdbqt
3697,D7800,CCc1cc2c(cc3c(=O)n(CC(=O)N4CCN(c5cc(Cl)ccc5C)CC4)nc(CC)n32)s1,0.8181671,498.1,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3697.pdbqt
6115,D7800,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl,0.8166874,476.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6115.pdbqt
2529,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)Nc3ccccc3C)c2=O)CCCCC4)cc1C,0.8161999,487.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2529.pdbqt
6218,D7800,Cc1ccc(C)c(N2CCN(C(=O)CCc3c(C)nn(-c4ccc(N5CCCC5)nn4)c3C)CC2)c1,0.81068677,487.7,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6218.pdbqt
3854,D7800,Cc1cc(C)c(Cn2c3ccccc3c3cnn(CC(=O)NCc4ccc(Cl)cc4)c(=O)c32)c(C)c1,0.8095343,499.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3854.pdbqt
5753,D7800,Cc1ccc(NC(=O)c2ccc(NC(=O)N3CCSc4nc(C)cc(C)c43)cc2)c(Cl)c1,0.8092008,467.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5753.pdbqt
7096,D7800,Cc1ccc(CNC(=O)c2cc(-c3ccc(C)cc3)nc3n[nH]c(-c4ccc(F)cc4)c23)cc1,0.80768186,450.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/7096.pdbqt
6046,D7800,Cc1cc(C)c(NC(=O)CSc2ncc3c(n2)-c2cc(Cl)ccc2N(C)S3(=O)=O)c(C)c1,0.80690944,489.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6046.pdbqt
5850,D7800,Cc1nc(N2CCOCC2)c2c(C(=O)N3CCN(c4cccc(C)c4C)CC3)c(C)oc2n1,0.80580664,449.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5850.pdbqt
3248,D7800,CSc1ccc(CCNC(=O)CCc2c(C)nc3c(c(C)nn3-c3ccc(C)c(C)c3)c2C)cc1,0.8058065,486.7,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3248.pdbqt
2300,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)c3ccc(Cl)cc3)c2=O)CCC4)cc1C,0.80475765,465.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2300.pdbqt
11153,L6020,COC1OC(CO)C(O)C(O)C1O,0.79839313,194.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/11153.pdbqt
7004,D7800,O=C(CSc1nc(=O)n(CCN2CCOCC2)c2c1CCC2)Nc1ccc(Cl)c(Cl)c1,0.79708207,483.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/7004.pdbqt
2907,D7800,Cc1ccc(N2C(=O)c3[nH]nc(-c4ccc(Cl)cc4)c3C2c2ccc(F)cc2)cc1,0.7963363,417.9,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2907.pdbqt
5921,D7800,CCn1nnc2cc(C(=O)Nc3ccc(Br)cc3F)ccc21,0.79553175,363.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5921.pdbqt
4740,L6020,COC1C(O)C(O)C(O)C(O)C1O,0.7942142,194.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/4740.pdbqt
6460,D7800,COc1ccc(Br)cc1CNC(=O)c1cc2n(n1)CCCN(Cc1ccc(C)cc1)C2=O,0.79328805,497.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6460.pdbqt
8213,L6020,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,0.7932582,483.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/8213.pdbqt
2297,D7800,Cc1ccc(CNC(=O)Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c(C)c(C)sc32)cc1,0.79213774,468.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2297.pdbqt
3351,D7800,Cc1ccc2oc(=O)c3cnn(CC(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)c3c2c1,0.79096276,470.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3351.pdbqt
6131,D7800,O=C(NCc1cccc(Br)c1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,0.790903,478.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6131.pdbqt
3549,D7800,Cc1ccc(CN2CCSc3ccc(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc32)cc1,0.7890161,471.7,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3549.pdbqt
2481,D7800,COc1ccc2c(c1)CCc1c(C(=O)Nc3c(C)nn(Cc4c(Cl)cccc4Cl)c3C)noc1-2,0.7886299,497.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2481.pdbqt
2532,D7800,Cc1ccc(NC(=O)Cn2c(=O)n(CCc3ccccc3)c(=O)c3c4c(sc32)CCCC4)cc1C,0.78797185,487.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2532.pdbqt
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7879594,359.2,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5922.pdbqt
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.7869324,434.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6225.pdbqt
5771,D7800,Cc1cc(C)c(NC(=O)CN2C(=O)C3(SCC(=O)N3c3ccc(F)cc3)c3ccccc32)c(C)c1,0.7854271,489.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5771.pdbqt
3852,D7800,CCN1CCN(C(=O)Cn2ncc3c4ccccc4n(Cc4c(C)cc(C)cc4C)c3c2=O)CC1,0.785227,471.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3852.pdbqt
1462,D7800,COc1ccc(-n2nc3cc(C)c(NC(=O)c4ccc(C)cc4C)cc3n2)cc1Cl,0.78449327,420.9,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/1462.pdbqt
5843,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCCCC4)c23)CC1,0.7843936,454.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5843.pdbqt
6180,D7800,Cc1c(C(=O)N2CCOCC2)c(S(=O)(=O)Nc2ccc(Br)cc2F)c(C)n1C,0.78312075,474.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6180.pdbqt
5614,D7800,Cc1cccc(-n2c(=O)c3c(c4cc(C)ccc4n3C)n(CC(=O)Nc3ccc(C)c(C)c3)c2=O)c1,0.7829407,480.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5614.pdbqt
3722,D7800,Cc1c(NC(=O)Nc2ccc(Br)cc2F)sc2nc3n(c(=O)c12)CCC(C)CC3,0.782865,479.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/3722.pdbqt
5805,D7800,Cc1ccc(C)c(N2CCN(CCCNc3ncnc4onc(-c5ccc(Cl)cc5)c34)CC2)c1,0.78240824,477.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5805.pdbqt
2732,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Nc4nc5ccccc5n5nnnc45)cc3)CC2)c1,0.78221905,478.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2732.pdbqt
5420,D7800,Cc1ccc(NC(=O)c2ccc(CNS(=O)(=O)c3ccc4c(c3)C(C)(C)C(=O)N4C)cc2)cc1C,0.7818201,491.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5420.pdbqt
6133,D7800,O=C(Cc1ccc(NC(=O)N2CCCCc3ccccc32)cc1)NCc1ccccc1Br,0.7818086,492.4,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6133.pdbqt
58,L6020,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC3(O)OCC4(C)OC5(OC)CCC(C)(C1C2)C43O5,0.78141844,488.5,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/58.pdbqt
6229,D7800,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7813861,464.6,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/6229.pdbqt
2527,D7800,Cc1ccc(C)c(Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c4c(sc32)CCC4)c1,0.78122526,437.0,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2527.pdbqt
5444,D7800,Cc1ccc(C)c(-n2nnc(-c3nc(-c4ccc(Cl)cc4)no3)c2N)c1,0.7811482,366.8,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/5444.pdbqt
2339,D7800,Cc1ccc(Cl)cc1-n1nnc(-c2nsc(NC(=O)c3ccccc3Cl)n2)c1C,0.78110796,445.3,ok,/root/disk1/senchenliu/MSFP/final/phase25_snd1_docking/ligands/bestsingle/2339.pdbqt
