idx,name,smiles,model_score,mw,docking_score,status
6117,D7800,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12,0.8471029,497.9,-8.681,ok
1992,D7800,Cc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)Nc4sc5c(c4C#N)CCC(C)C5)cc3n2)cc1,0.83223003,495.5,-8.153,ok
6116,D7800,Cc1nnc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c2nn(-c3ccccc3)c(C)c12,0.8321696,495.5,-8.777,ok
5700,D7800,Cc1ccc(Cl)cc1Nc1nn2c(=O)c3ccc(C(=O)NCc4ccc(F)cc4)cc3nc2s1,0.83156484,494.0,-8.826,ok
5846,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCOCC4)c23)CC1,0.8278735,455.9,-7.053,ok
6806,D7800,Cc1nc(-c2ccc(C)c(N3CCN(C(=O)Nc4ccccc4C(F)(F)F)CC3)c2)no1,0.8234075,445.4,-7.723,ok
5851,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3c(C)oc4nc(C)nc(N5CCOCC5)c34)CC2)c1,0.8202599,449.6,-7.318,ok
1985,D7800,CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2sc3c(c2c1=O)CCN(C)C3,0.8198546,493.5,-6.812,ok
3697,D7800,CCc1cc2c(cc3c(=O)n(CC(=O)N4CCN(c5cc(Cl)ccc5C)CC4)nc(CC)n32)s1,0.8181671,498.1,-7.213,ok
6115,D7800,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl,0.8166874,476.0,-8.476,ok
2529,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)Nc3ccccc3C)c2=O)CCCCC4)cc1C,0.8161999,487.6,-6.231,ok
6218,D7800,Cc1ccc(C)c(N2CCN(C(=O)CCc3c(C)nn(-c4ccc(N5CCCC5)nn4)c3C)CC2)c1,0.81068677,487.7,-8.793,ok
3854,D7800,Cc1cc(C)c(Cn2c3ccccc3c3cnn(CC(=O)NCc4ccc(Cl)cc4)c(=O)c32)c(C)c1,0.8095343,499.0,-8.306,ok
