idx,name,smiles,model_score,mw,docking_score,status
4123,D7800,Cc1ccc(-c2noc(CSc3nnc(-c4ccc(Cl)cc4)n3C)n2)cc1,0.5159843,397.9,-7.844,ok
3728,D7800,Cc1sc(-n2cccc2)c(C(C)NC(=O)Nc2ccccc2Cl)c1C,0.62929404,373.9,-6.501,ok
6390,D7800,CCOc1ccc(OCC)c(NS(=O)(=O)c2c(C(=O)N3CCC(C)CC3)c(C)n(C)c2C)c1,0.50877506,477.6,-6.335,ok
569,D7800,CCCCCCC(O)(CCN1CCCCC1)c1ccccc1,0.39126563,303.5,-5.894,ok
10529,L6020,Nc1cc2c(cn1)[nH]c1ccccc12,0.47218513,183.2,-5.89,ok
8533,L6020,CC1COC(c2ccc3c(c2)OCO3)O1,0.47642222,208.2,-5.676,ok
4490,D7800,COc1ccc(-c2noc(CN(C)S(=O)(=O)c3ccccc3)n2)cc1OC,0.29320875,389.4,-6.981,ok
8725,L6020,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@]2(O)C3=CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.3438307,480.6,-7.195,ok
955,D7800,Nc1nnc(SCc2ccccc2Cl)s1,0.48843604,257.8,-5.527,ok
3540,D7800,Cc1cc(C)c(NC(=O)C2CCCN(S(=O)(=O)c3c(C)noc3/C=C/N(C)C)C2)c(C)c1,0.49469844,460.6,-6.78,ok
4286,D7800,O=C(c1cccs1)n1nc(-c2cccnc2)nc1NCc1ccco1,0.5787853,351.4,-6.568,ok
6538,D7800,CC1CCCN(S(=O)(=O)c2cc(C(=O)NCCc3ccccc3)n(C)c2)C1,0.411999,389.5,-6.425,ok
2125,L6020,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.42434797,354.4,-7.68,ok
1716,D7800,CCOC(=O)CC(NS(=O)(=O)Cc1ccccc1)c1ccc(C)cc1,0.36951277,361.5,-6.591,ok
9125,L6020,C=C(C)/C=C/C/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,0.33420438,336.4,-7.353,ok
14178,L6020,COc1cc(CCc2ccc3c(c2)OCO3)oc(=O)c1,0.3340513,274.3,-6.836,ok
3348,D7800,Cc1ccc2oc(=O)c3cnn(CC(=O)N4CCCCCC4)c3c2c1,0.51134175,339.4,-4.98,ok
7746,D7800,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)Nc1ccc(F)cc1F,0.4954576,474.3,-7.16,ok
6490,L6020,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.29973346,476.5,-7.645,ok
1674,D7800,CCOC(=O)C(Cc1ccccc1)NC(=O)Cn1nnc(-c2ccccc2)n1,0.38262227,379.4,-7.031,ok
4724,D7800,COc1ccc(OCC(=O)N2CCN(CCc3ccncc3)CC2)cc1,0.46561646,355.4,-6.467,ok
2546,L6020,COc1cc(O)c2c(=O)cc(Oc3ccc(O)cc3)oc2c1C[C@@H](O)C(C)(C)O,0.3164618,402.4,-7.365,ok
9405,L6020,CC(C)=CCC/C(C)=C/Cc1c(O)ccc2c(=O)c(-c3ccc(O)cc3)coc12,0.37663496,390.5,-7.862,ok
7433,D7800,CC1=CC(C)(C)NC(=S)N1c1ccccc1C,0.53163,246.4,-6.037,ok
5152,L6020,Cc1ccc([C@]2(C)CCCC2(C)C)cc1,0.32846135,202.3,-5.782,ok
11348,L6020,C/C=C1\CN2CC[C@]34c5ccccc5N[C@H]3[C@@H](CO)[C@H]1C[C@H]24,0.2805292,296.4,-6.556,ok
4524,L6020,COc1cc(O)cc2c1C(=O)C[C@@H](c1ccccc1)O2,0.25886196,270.3,-6.574,ok
5775,D7800,COc1ccc(N2C(=O)CSC23C(=O)N(CC(N)=O)c2ccccc23)cc1,0.37942478,383.4,-6.795,ok
10311,L6020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.5181948,267.2,-5.166,ok
1754,D7800,COc1ccc(NC(=O)CC2S/C(=N/c3ccccc3)NC2=O)c(OC)c1,0.304977,385.4,-6.747,ok
6572,D7800,Cc1ccc(CNC(=O)CN2C(=O)C3CCCCN3c3ccc(C(=O)N(C)C)cc32)cc1,0.54922974,434.5,-7.536,ok
13317,L6020,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1C1=CC(=O)OC1CC(=O)O,0.34527642,386.4,-6.422,ok
12902,L6020,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,0.30416363,210.2,-5.341,ok
3603,L6020,CCOC(=S)NCc1ccc(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,0.4421683,357.4,-6.072,ok
11351,L6020,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@]43C)C12,0.40316445,442.7,-6.634,ok
2059,D7800,CCc1ccccc1NC(=O)c1cn(C)c(=O)c2ccccc12,0.54609466,306.4,-7.273,ok
2621,D7800,CSc1ccc(-c2nc3cc(C)ccn3c2Nc2ccc(C)cc2)cc1,0.532305,359.5,-6.415,ok
3882,L6020,COc1cc(O)c2c(c1)CCc1cc(Oc3c(OC)cc(O)c4c3CCc3cc(O)ccc3-4)ccc1-2,0.4801937,482.5,-8.651,ok
18343,L6020,CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)C4C[C@H](O)C5C(C)(C)[C@@H](O)CC[C@]5(C)C4=CC[C@]23C)O1,0.35987797,490.7,-8.369,ok
6518,L6020,CC(C)c1ccc(C(C)C)cc1,0.40150657,162.3,-5.984,ok
5786,D7800,COc1cccc(NC(=O)Nc2ccc3nc(N4CCN(C)CC4)cc(C)c3c2)c1,0.65256536,405.5,-7.351,ok
468,D7800,Cn1c(=O)c2c(ncn2Cc2cccc(Cl)c2)n(C)c1=O,0.41664833,304.7,-6.352,ok
10895,L6020,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1(CO)O5,0.5964776,341.4,-6.955,ok
5195,L6020,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CCC2=C3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.45169243,392.6,-8.003,ok
