idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
3825,D7800,Cc1cc(C)c(NC(=O)CSc2nc3ccncc3[nH]2)c(C)c1,0.5644569,326.4,3.61,2.0,4.0,4.0,70.7,0.0,True,False,True
2066,L6020,COc1cc(O)c2c(=O)cc(-c3ccccc3O)oc2c1OC,0.2843596,314.3,2.89,2.0,6.0,3.0,89.1,0.0,True,False,True
1621,D7800,O=C(CSc1nnc[nH]1)NCCOc1ccccc1,0.40774894,278.3,1.09,2.0,5.0,7.0,79.9,0.0,True,False,True
8102,L6020,CCc1ccc(C[C@H](N)C(=O)O)cc1,0.27062744,193.2,1.2,2.0,2.0,4.0,63.3,0.0,True,False,True
5061,D7800,Cc1cccn2c(=O)c3cc(C(=O)NCCC4=CCCCC4)n(C)c3nc12,0.5537333,364.4,3.11,1.0,5.0,4.0,68.4,0.0,True,False,True
9484,L6020,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,0.3624031,372.5,3.71,0.0,5.0,7.0,69.7,0.0,True,False,True
574,D7800,CCOc1ccc(-n2nc3ccc(NC(=O)COc4ccc(OC)cc4)cc3n2)cc1,0.43596125,418.5,3.85,1.0,7.0,8.0,87.5,0.0,True,False,True
8626,L6020,O=C[C@@H](O)C(O)(CO)CO,0.39853364,150.1,-2.74,4.0,5.0,4.0,98.0,0.0,True,False,True
14157,L6020,C=C1C(=O)O[C@@H]2/C=C(\CO)CC/C=C(/C=O)C[C@H](O)[C@@H]12,0.4372608,278.3,0.67,2.0,5.0,2.0,83.8,0.0,True,False,True
7927,L6020,CCOC(=O)CC(=O)OC(C)(C)C,0.4690691,188.2,1.28,0.0,4.0,3.0,52.6,0.0,True,False,True
11434,L6020,CC1=CC[C@@H]2C(C)(C)C(=O)C[C@@]2(C)[C@H]1COc1ccc2ccc(=O)oc2c1,0.28759763,366.5,4.76,0.0,4.0,3.0,56.5,0.0,True,False,True
4123,D7800,Cc1ccc(-c2noc(CSc3nnc(-c4ccc(Cl)cc4)n3C)n2)cc1,0.5159843,397.9,4.79,0.0,7.0,5.0,69.6,0.0,True,False,True
3728,D7800,Cc1sc(-n2cccc2)c(C(C)NC(=O)Nc2ccccc2Cl)c1C,0.62929404,373.9,5.69,2.0,3.0,4.0,46.1,1.0,True,False,True
6390,D7800,CCOc1ccc(OCC)c(NS(=O)(=O)c2c(C(=O)N3CCC(C)CC3)c(C)n(C)c2C)c1,0.50877506,477.6,4.11,1.0,6.0,8.0,89.9,0.0,True,False,True
569,D7800,CCCCCCC(O)(CCN1CCCCC1)c1ccccc1,0.39126563,303.5,4.72,1.0,2.0,9.0,23.5,0.0,True,False,True
10529,L6020,Nc1cc2c(cn1)[nH]c1ccccc12,0.47218513,183.2,2.3,2.0,2.0,0.0,54.7,0.0,True,False,True
8533,L6020,CC1COC(c2ccc3c(c2)OCO3)O1,0.47642222,208.2,1.85,0.0,4.0,1.0,36.9,0.0,True,False,True
4490,D7800,COc1ccc(-c2noc(CN(C)S(=O)(=O)c3ccccc3)n2)cc1OC,0.29320875,389.4,2.57,0.0,7.0,7.0,94.8,0.0,True,False,True
8725,L6020,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@]2(O)C3=CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.3438307,480.6,1.85,6.0,7.0,5.0,138.5,1.0,True,False,True
955,D7800,Nc1nnc(SCc2ccccc2Cl)s1,0.48843604,257.8,3.07,1.0,5.0,3.0,51.8,0.0,True,False,True
3540,D7800,Cc1cc(C)c(NC(=O)C2CCCN(S(=O)(=O)c3c(C)noc3/C=C/N(C)C)C2)c(C)c1,0.49469844,460.6,3.48,1.0,6.0,6.0,95.8,0.0,True,False,True
4286,D7800,O=C(c1cccs1)n1nc(-c2cccnc2)nc1NCc1ccco1,0.5787853,351.4,3.3,1.0,8.0,5.0,85.8,0.0,True,False,True
6538,D7800,CC1CCCN(S(=O)(=O)c2cc(C(=O)NCCc3ccccc3)n(C)c2)C1,0.411999,389.5,2.42,1.0,4.0,6.0,71.4,0.0,True,False,True
2125,L6020,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.42434797,354.4,3.79,4.0,6.0,3.0,111.1,0.0,True,False,True
1716,D7800,CCOC(=O)CC(NS(=O)(=O)Cc1ccccc1)c1ccc(C)cc1,0.36951277,361.5,3.11,1.0,4.0,8.0,72.5,0.0,True,False,True
9125,L6020,C=C(C)/C=C/C/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,0.33420438,336.4,5.39,0.0,4.0,6.0,52.6,1.0,True,False,True
14178,L6020,COc1cc(CCc2ccc3c(c2)OCO3)oc(=O)c1,0.3340513,274.3,2.16,0.0,5.0,4.0,57.9,0.0,True,False,True
3348,D7800,Cc1ccc2oc(=O)c3cnn(CC(=O)N4CCCCCC4)c3c2c1,0.51134175,339.4,2.85,0.0,5.0,2.0,68.3,0.0,True,False,True
7746,D7800,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)Nc1ccc(F)cc1F,0.4954576,474.3,2.67,1.0,4.0,5.0,69.7,0.0,True,False,True
6490,L6020,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.29973346,476.5,2.99,1.0,7.0,3.0,99.1,0.0,True,False,True
1674,D7800,CCOC(=O)C(Cc1ccccc1)NC(=O)Cn1nnc(-c2ccccc2)n1,0.38262227,379.4,1.63,1.0,7.0,8.0,99.0,0.0,True,False,True
4724,D7800,COc1ccc(OCC(=O)N2CCN(CCc3ccncc3)CC2)cc1,0.46561646,355.4,1.86,0.0,5.0,7.0,54.9,0.0,True,False,True
2546,L6020,COc1cc(O)c2c(=O)cc(Oc3ccc(O)cc3)oc2c1C[C@@H](O)C(C)(C)O,0.3164618,402.4,2.68,4.0,8.0,6.0,129.6,0.0,True,False,True
9405,L6020,CC(C)=CCC/C(C)=C/Cc1c(O)ccc2c(=O)c(-c3ccc(O)cc3)coc12,0.37663496,390.5,6.11,2.0,4.0,6.0,70.7,1.0,True,False,True
7433,D7800,CC1=CC(C)(C)NC(=S)N1c1ccccc1C,0.53163,246.4,3.37,1.0,1.0,1.0,15.3,0.0,True,False,True
5152,L6020,Cc1ccc([C@]2(C)CCCC2(C)C)cc1,0.32846135,202.3,4.46,0.0,0.0,1.0,0.0,0.0,True,False,True
11348,L6020,C/C=C1\CN2CC[C@]34c5ccccc5N[C@H]3[C@@H](CO)[C@H]1C[C@H]24,0.2805292,296.4,2.38,2.0,3.0,1.0,35.5,0.0,True,False,True
4524,L6020,COc1cc(O)cc2c1C(=O)C[C@@H](c1ccccc1)O2,0.25886196,270.3,3.11,1.0,4.0,2.0,55.8,0.0,True,False,True
5775,D7800,COc1ccc(N2C(=O)CSC23C(=O)N(CC(N)=O)c2ccccc23)cc1,0.37942478,383.4,1.46,1.0,5.0,4.0,92.9,0.0,True,False,True
10311,L6020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.5181948,267.2,-1.98,4.0,9.0,2.0,139.5,0.0,True,False,True
1754,D7800,COc1ccc(NC(=O)CC2S/C(=N/c3ccccc3)NC2=O)c(OC)c1,0.304977,385.4,2.95,2.0,6.0,6.0,89.0,0.0,True,False,True
6572,D7800,Cc1ccc(CNC(=O)CN2C(=O)C3CCCCN3c3ccc(C(=O)N(C)C)cc32)cc1,0.54922974,434.5,2.72,1.0,4.0,5.0,73.0,0.0,True,False,True
13317,L6020,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1C1=CC(=O)OC1CC(=O)O,0.34527642,386.4,2.57,3.0,7.0,6.0,122.5,0.0,True,False,True
12902,L6020,CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,0.30416363,210.2,1.21,3.0,5.0,2.0,94.8,0.0,True,False,True
3603,L6020,CCOC(=S)NCc1ccc(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,0.4421683,357.4,0.3,4.0,7.0,5.0,100.4,0.0,True,False,True
