idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
2481,D7800,COc1ccc2c(c1)CCc1c(C(=O)Nc3c(C)nn(Cc4c(Cl)cccc4Cl)c3C)noc1-2,0.7886299,497.4,5.87,1.0,6.0,5.0,82.2,1.0,True,False,True
2532,D7800,Cc1ccc(NC(=O)Cn2c(=O)n(CCc3ccccc3)c(=O)c3c4c(sc32)CCCC4)cc1C,0.78797185,487.6,4.6,1.0,6.0,6.0,73.1,0.0,True,False,True
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7879594,359.2,3.77,1.0,4.0,3.0,59.8,0.0,True,False,True
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.7869324,434.5,3.3,1.0,7.0,6.0,85.2,0.0,True,False,True
5771,D7800,Cc1cc(C)c(NC(=O)CN2C(=O)C3(SCC(=O)N3c3ccc(F)cc3)c3ccccc32)c(C)c1,0.7854271,489.6,4.67,1.0,4.0,4.0,69.7,0.0,True,False,True
3852,D7800,CCN1CCN(C(=O)Cn2ncc3c4ccccc4n(Cc4c(C)cc(C)cc4C)c3c2=O)CC1,0.785227,471.6,3.49,0.0,6.0,5.0,63.4,0.0,True,False,True
1462,D7800,COc1ccc(-n2nc3cc(C)c(NC(=O)c4ccc(C)cc4C)cc3n2)cc1Cl,0.78449327,420.9,5.26,1.0,5.0,4.0,69.0,1.0,True,False,True
5843,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCCCC4)c23)CC1,0.7843936,454.0,4.45,0.0,6.0,3.0,65.7,0.0,True,False,True
6180,D7800,Cc1c(C(=O)N2CCOCC2)c(S(=O)(=O)Nc2ccc(Br)cc2F)c(C)n1C,0.78312075,474.4,2.82,1.0,5.0,4.0,80.6,0.0,True,False,True
5614,D7800,Cc1cccc(-n2c(=O)c3c(c4cc(C)ccc4n3C)n(CC(=O)Nc3ccc(C)c(C)c3)c2=O)c1,0.7829407,480.6,4.52,1.0,6.0,4.0,78.0,0.0,True,False,True
3722,D7800,Cc1c(NC(=O)Nc2ccc(Br)cc2F)sc2nc3n(c(=O)c12)CCC(C)CC3,0.782865,479.4,5.28,2.0,5.0,2.0,76.0,1.0,True,False,True
5805,D7800,Cc1ccc(C)c(N2CCN(CCCNc3ncnc4onc(-c5ccc(Cl)cc5)c34)CC2)c1,0.78240824,477.0,5.18,1.0,7.0,7.0,70.3,1.0,True,False,True
2732,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Nc4nc5ccccc5n5nnnc45)cc3)CC2)c1,0.78221905,478.6,4.0,1.0,8.0,4.0,91.5,0.0,True,False,True
