idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
3633,D7800,O=C(Cn1ncc2c1-c1ccccc1OC2)Nc1ccc(Cl)cn1,0.7121775,340.8,3.13,1.0,5.0,3.0,69.0,0.0,True,False,True
5538,D7800,Cc1cc(Nc2cccc(Cl)c2)nc2ccc(NC(=O)Cc3c(F)cccc3Cl)cc12,0.7120505,454.3,6.91,2.0,3.0,5.0,54.0,1.0,True,False,True
5781,D7800,Cc1ccc(CNc2ncnc3onc(-c4ccc(F)cc4)c23)cc1,0.71184117,334.4,4.34,1.0,5.0,4.0,63.8,0.0,True,False,True
14672,L6020,CC1=C2CC3OC3(C)CCC3OC3(C)CC2OC1=O,0.71172273,264.3,2.12,0.0,4.0,0.0,51.4,0.0,True,False,True
5805,D7800,Cc1ccc(C)c(N2CCN(CCCNc3ncnc4onc(-c5ccc(Cl)cc5)c34)CC2)c1,0.7115613,477.0,5.18,1.0,7.0,7.0,70.3,1.0,True,False,True
6224,D7800,COc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7113279,450.5,2.37,1.0,8.0,8.0,94.4,0.0,True,False,True
6445,D7800,CCn1nc(C)c(CCN(C)C(=O)Nc2cc(Cl)ccc2C)c1C,0.71054137,348.9,4.19,1.0,3.0,5.0,50.2,0.0,True,False,True
14675,L6020,CC1(C)C=Cc2c(ccc3c2[N+]([O-])=C2C3(O)CC34NC(=O)C5(CCCN5C3=O)CC4C2(C)C)O1,0.7100952,463.5,2.33,2.0,5.0,0.0,104.9,0.0,True,False,True
1646,D7800,Cn1c2c(c(=O)n(C)c1=O)CN(CCN1CCNCC1)CN2,0.7100874,308.4,-1.83,2.0,8.0,3.0,74.5,0.0,True,False,True
8086,D7800,N=c1c(C(=O)NCCN2CCOCC2)cc2c(=O)n3ccccc3nc2n1Cc1ccc(F)cc1,0.7100524,476.5,1.38,2.0,8.0,6.0,104.7,0.0,True,False,True
7328,D7800,Cc1ccc(-n2ncc3c(NCCC4=CCCCC4)ncnc32)cc1C,0.7091921,347.5,4.73,1.0,5.0,5.0,55.6,0.0,True,False,True
5748,D7800,Cc1ccc(-n2nc3c(N4CCC(C(=O)NCCc5ccco5)CC4)nnc(C)c3c2C)cc1,0.7089488,458.6,3.91,1.0,7.0,6.0,89.1,0.0,True,False,True
13483,L6020,CC1OC2OC(=O)C3(C)CC4C5(CO5)C5=CC(=O)OC(C)(C)C5=CC(=O)C4(C)C(C1=O)C23,0.708725,442.5,1.66,0.0,8.0,0.0,108.5,0.0,True,False,True
17753,L6020,C=C(C)C(=O)OC1CC(C)=C2C(=O)C=C(C)C2C2OC(=O)C(C)(OC(=O)C(=C)C)C12,0.70860636,414.5,2.76,0.0,7.0,4.0,96.0,0.0,True,False,True
3224,D7800,Cc1nc2cc(-c3cccc(F)c3)nn2c(C)c1CCC(=O)N1CCN(c2ccc(F)cc2)CC1,0.70844144,475.5,4.57,0.0,5.0,5.0,53.7,0.0,True,False,True
16865,L6020,C=C1C(=O)OC2CC3(C)OC3CCC3(C)OC3CC12,0.7083068,264.3,1.97,0.0,4.0,0.0,51.4,0.0,True,False,True
5738,D7800,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCc4ccc(Cl)cc4)nc(C)c3c2C)cc1,0.70813686,464.0,4.26,1.0,6.0,7.0,81.8,0.0,True,False,True
15380,L6020,C/C=C/C1OC2=C(C(=O)OC2(C)O)C(O)C1O,0.70774424,242.2,-0.8,3.0,6.0,1.0,96.2,0.0,True,False,True
5606,D7800,CCOC(=O)C1=C(CN2CCN(C)CC2)NC(=O)NC1c1ccc(F)cc1,0.7062454,376.4,1.24,2.0,5.0,5.0,73.9,0.0,True,False,True
12309,L6020,CCC1=C(C)C(=O)C23OC(=O)CC(C)C4(O2)C(OC)=CC(=O)C4(O)C13C,0.7057289,362.4,1.19,1.0,7.0,2.0,99.1,0.0,True,False,True
4978,L6020,CC1OCC23CC4(O)C(=O)N5CCC(=C5C14)OCCCOC(=O)C2(C)O3,0.705666,365.4,0.09,1.0,7.0,0.0,97.8,0.0,True,False,True
3248,D7800,CSc1ccc(CCNC(=O)CCc2c(C)nc3c(c(C)nn3-c3ccc(C)c(C)c3)c2C)cc1,0.7027339,486.7,5.98,1.0,5.0,8.0,59.8,1.0,True,False,True
551,L6020,C=C1C2OC(O)C3C1CC(O)C3(C)O2,0.7023027,198.2,0.0,2.0,4.0,0.0,58.9,0.0,True,False,True
626,D7800,CC1=C(C(=O)Nc2ccccc2Cl)C(c2cccc(Br)c2)NC(=O)N1,0.7022336,420.7,4.37,3.0,2.0,3.0,70.2,0.0,True,False,True
2851,D7800,Cc1ccc(-n2nc(-c3ccc(F)cc3)c3cnc4cc5c(cc4c32)OCO5)cc1C,0.70182943,411.4,5.73,0.0,5.0,2.0,49.2,1.0,True,False,True
7320,D7800,Fc1ccc(-n2ncc3c(Nc4ccc(Oc5ccc(Cl)cc5)cc4)ncnc32)cc1,0.7018196,431.9,6.14,1.0,6.0,5.0,64.9,1.0,True,False,True
